SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,POR_rising,POR_falling,POR_hys,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ishd,Post_Ignd100,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
No_15,25,True,1,1615,68,0.478,-0.440,-0.520,-0.528,-0.599,-0.415,,0.102,,,0.002,,0.001,,0.002,,0.282,2.8548,2.5208,0.3340,7.806,0.853,1.2630,3.3346,0.346,0.424,185.972,385.542,0.3783,3.3341,,,,3.3345,6.2679,3.3353,3.3290,0.9529,0.636,1.190,0.122,92.671,5.107,0.1830,0.0004,9.639,1.7806,0.5595,0.005,0.811,7.831,,0.072,,,0.000,,0.002,,0.002,,0.281,0.481,-0.443,-0.523,-0.531,-0.602,-0.416,
No_16,25,True,1,1615,68,0.486,-0.450,-0.530,-0.537,-0.608,-0.416,,0.097,,,0.001,,0.002,,0.002,,0.284,2.8703,2.5204,0.3499,7.899,0.866,1.2618,3.3492,0.345,0.432,183.757,380.749,1.0308,3.3464,,,,3.3474,3.4381,3.3481,3.3447,0.9461,0.636,1.190,0.124,92.707,4.969,0.1804,0.0010,9.684,1.7805,0.5697,0.005,0.830,7.881,,0.077,,,-0.001,,0.002,,0.002,,0.283,0.487,-0.451,-0.531,-0.539,-0.610,-0.417,
No_15,125,True,1,1624,68,0.354,-0.302,-0.373,-0.382,-0.434,-0.346,,1.775,,,0.004,,0.003,,0.009,,0.316,2.8582,2.5111,0.3471,9.170,0.966,1.2601,3.3226,0.374,0.409,230.543,479.222,1.4977,3.3223,,,,3.3238,4.9726,3.3218,3.3168,0.9650,0.566,1.190,0.164,92.607,5.988,0.2214,0.0023,10.227,1.6803,0.4667,0.006,0.958,9.179,,1.920,,,0.002,,0.003,,0.009,,0.318,0.348,-0.298,-0.369,-0.379,-0.429,-0.344,
No_16,125,True,1,1624,68,0.340,-0.294,-0.364,-0.374,-0.422,-0.340,,2.206,,,0.004,,0.004,,0.010,,0.323,2.8283,2.5002,0.3281,9.448,1.039,1.2526,3.3160,0.394,0.419,233.335,484.718,3.0847,3.3154,,,,3.3185,6.0666,3.3157,3.3097,0.9404,0.565,1.191,0.173,92.738,5.969,0.2229,0.0035,10.387,1.6601,0.4661,0.006,1.021,9.486,,2.410,,,0.003,,0.004,,0.012,,0.327,0.334,-0.290,-0.360,-0.369,-0.417,-0.338,
No_15,-40,True,1,1610,68,0.583,-0.668,-0.711,-0.717,-0.776,-0.500,,0.061,,,0.005,,0.008,,0.004,,0.247,2.8641,2.5210,0.3431,7.177,0.689,1.2631,3.3390,0.326,0.465,133.310,275.079,-1.2361,3.3412,,,,3.3399,4.5959,3.3402,3.3356,0.9344,0.727,1.211,0.318,92.755,4.175,0.1459,0.0236,9.061,1.8803,0.6681,0.004,0.676,7.202,,0.046,,,-0.004,,0.016,,0.004,,0.248,0.582,-0.665,-0.709,-0.715,-0.774,-0.499,
No_16,-40,True,1,1610,68,0.581,-0.664,-0.708,-0.714,-0.773,-0.496,,0.069,,,0.004,,0.002,,0.002,,0.250,2.8655,2.5210,0.3445,7.047,0.706,1.2644,3.3647,0.322,0.461,134.185,276.950,-2.8184,3.3672,,,,3.3644,4.2728,3.3655,3.3612,0.9501,0.727,1.210,0.108,92.649,4.018,0.1458,0.0007,9.093,1.8799,0.6696,0.004,0.691,7.184,,0.057,,,0.000,,0.002,,0.001,,0.252,0.580,-0.662,-0.706,-0.712,-0.771,-0.495,
No_17,25,True,1,1619,68,0.497,-0.465,-0.543,-0.551,-0.621,-0.422,,0.093,,,0.002,,0.001,,0.002,,0.279,2.8368,2.5111,0.3258,7.819,0.836,1.2546,3.3176,0.377,0.437,179.910,372.448,1.3763,3.3156,,,,3.3169,5.1563,3.3173,3.3121,0.9413,0.646,1.194,0.119,92.801,4.952,0.1779,0.0002,9.576,1.7903,0.5806,0.005,0.803,7.738,,0.067,,,0.001,,0.002,,0.002,,0.278,0.498,-0.466,-0.544,-0.552,-0.622,-0.423,
No_18,25,True,1,1619,68,0.482,-0.445,-0.525,-0.533,-0.601,-0.413,,0.099,,,0.002,,0.002,,0.002,,0.282,2.8447,2.5012,0.3436,9.088,1.460,1.2548,3.3170,0.375,0.409,184.965,383.043,1.1165,3.3149,,,,3.3160,4.7929,3.3172,3.3125,0.9940,0.636,1.190,0.125,92.415,4.996,0.1815,0.0004,9.730,1.7697,0.5599,0.005,1.435,9.004,,0.083,,,0.001,,0.002,,0.002,,0.282,0.483,-0.447,-0.527,-0.535,-0.603,-0.414,
No_17,125,True,1,1654,68,0.343,-0.296,-0.366,-0.376,-0.424,-0.341,,2.070,,,0.004,,0.004,,0.011,,0.320,2.8454,2.5004,0.3450,9.182,0.980,1.2486,3.2968,0.416,0.415,232.690,483.068,-0.6663,3.2968,,,,3.2962,6.5357,3.2959,3.2893,0.9499,0.565,1.193,0.168,92.950,6.133,0.2236,0.0025,10.249,1.6697,0.4709,0.006,0.964,9.229,,2.210,,,0.003,,0.005,,0.011,,0.321,0.339,-0.293,-0.363,-0.373,-0.420,-0.339,
No_18,125,False,14,1654,22,0.355,-0.303,-0.374,-0.383,-0.429,-0.343,,1.741,,,0.004,,0.004,,0.010,,0.318,2.8344,2.4899,0.3445,10.018,1.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_17,-40,True,1,1613,68,0.576,-0.651,-0.697,-0.703,-0.763,-0.490,,0.036,,,0.003,,0.005,,0.004,,0.251,2.8540,2.5244,0.3296,7.165,0.710,1.2541,3.3259,0.357,0.471,137.369,283.395,1.1412,3.3259,,,,3.3271,1.9990,3.3252,3.3232,0.9408,0.716,1.210,0.212,92.837,4.110,0.1479,0.0250,9.107,1.8698,0.6629,0.004,0.699,7.211,,0.024,,,0.001,,0.008,,0.004,,0.251,0.576,-0.649,-0.695,-0.701,-0.762,-0.490,
No_18,-40,True,1,1613,68,0.574,-0.643,-0.691,-0.696,-0.756,-0.486,,0.074,,,0.003,,0.001,,0.001,,0.251,2.8478,2.5105,0.3373,7.551,1.142,1.2556,3.3191,0.356,0.430,138.865,286.486,1.6988,3.3193,,,,3.3210,3.5689,3.3188,3.3152,1.0068,0.717,1.200,0.113,92.314,4.022,0.1483,0.0001,9.244,1.8596,0.6505,0.004,1.129,7.570,,0.057,,,0.002,,0.002,,0.001,,0.251,0.574,-0.642,-0.690,-0.696,-0.755,-0.486,
No_19,25,True,1,1615,68,0.483,-0.447,-0.527,-0.535,-0.606,-0.417,,0.101,,,0.002,,0.001,,0.001,,0.280,2.8771,2.5303,0.3468,7.778,0.849,1.2645,3.3371,0.346,0.420,184.352,382.246,1.2626,3.3365,,,,3.3377,2.6186,3.3358,3.3332,0.9810,0.636,1.190,0.121,92.570,5.495,0.1823,0.0002,10.047,1.7805,0.5779,0.005,0.814,7.725,,0.075,,,0.000,,0.002,,0.002,,0.280,0.486,-0.450,-0.530,-0.538,-0.609,-0.418,
No_20,25,True,1,1615,68,0.486,-0.450,-0.529,-0.536,-0.608,-0.418,,0.095,,,0.002,,0.001,,0.001,,0.283,2.8548,2.5216,0.3333,7.946,0.850,1.2539,3.3152,0.380,0.415,186.708,387.559,2.6471,3.3145,,,,3.3171,4.5095,3.3155,3.3110,0.9541,0.647,1.191,0.121,93.220,5.079,0.1837,0.0004,9.259,1.7702,0.5684,0.005,0.815,7.893,,0.079,,,0.000,,0.002,,0.001,,0.282,0.488,-0.452,-0.531,-0.539,-0.610,-0.419,
No_19,125,True,1,1622,68,0.338,-0.292,-0.362,-0.372,-0.421,-0.340,,2.287,,,0.005,,0.004,,0.011,,0.320,2.8483,2.5113,0.3370,9.266,0.967,1.2576,3.3184,0.384,0.408,234.022,486.434,-0.1650,3.3189,,,,3.3187,8.0801,3.3187,3.3106,0.9782,0.564,1.192,0.169,92.714,5.995,0.2260,0.0033,10.776,1.6709,0.4760,0.006,0.970,9.509,,2.474,,,0.004,,0.004,,0.011,,0.322,0.332,-0.288,-0.359,-0.368,-0.417,-0.339,
No_20,125,True,1,1622,68,0.331,-0.287,-0.358,-0.367,-0.417,-0.339,,2.483,,,0.007,,0.005,,0.011,,0.325,2.8619,2.5115,0.3504,9.439,0.998,1.2485,3.2997,0.413,0.403,238.243,495.846,-1.3422,3.3023,,,,3.3010,7.2874,3.3005,3.2932,0.9470,0.565,1.193,0.171,93.207,6.154,0.2293,0.0043,9.901,1.6594,0.4572,0.006,0.964,9.504,,2.702,,,0.004,,0.004,,0.011,,0.327,0.326,-0.283,-0.354,-0.363,-0.413,-0.337,
No_19,-40,True,1,1609,68,0.584,-0.671,-0.714,-0.720,-0.778,-0.500,,0.068,,,0.005,,0.005,,0.004,,0.246,2.8782,2.5433,0.3349,7.028,0.693,1.2642,3.3431,0.320,0.449,132.917,274.357,1.3467,3.3437,,,,3.3450,3.1947,3.3430,3.3398,0.9903,0.727,1.211,0.263,92.582,3.900,0.1459,0.0222,9.413,1.8899,0.6813,0.004,0.690,7.105,,0.050,,,0.001,,0.009,,0.004,,0.247,0.583,-0.669,-0.712,-0.718,-0.777,-0.499,
No_20,-40,True,1,1609,68,0.582,-0.668,-0.711,-0.717,-0.775,-0.499,,0.073,,,0.003,,0.002,,0.001,,0.250,2.8617,2.5221,0.3395,7.262,0.704,1.2543,3.3223,0.354,0.445,135.868,280.732,2.4712,3.3227,,,,3.3251,2.8340,3.3214,3.3186,0.9502,0.727,1.211,0.112,92.940,3.832,0.1479,0.0002,8.624,1.8800,0.6698,0.004,0.691,7.283,,0.060,,,0.001,,0.003,,0.002,,0.251,0.581,-0.666,-0.709,-0.715,-0.773,-0.498,
No_21,25,True,1,1616,68,0.486,-0.450,-0.529,-0.537,-0.607,-0.415,,0.098,,,0.003,,0.002,,0.002,,0.280,2.8460,2.5109,0.3351,8.286,0.852,1.2565,3.3261,0.377,0.420,183.211,379.668,-0.5620,3.3263,,,,3.3258,5.5144,3.3261,3.3206,1.0075,0.636,1.193,0.122,92.778,5.024,0.1811,0.0000,9.420,1.7702,0.5492,0.005,0.805,7.601,,0.067,,,0.001,,0.002,,0.001,,0.280,0.489,-0.453,-0.533,-0.541,-0.610,-0.417,
No_22,25,True,1,1616,68,0.481,-0.443,-0.523,-0.531,-0.601,-0.414,,0.098,,,0.003,,0.002,,0.002,,0.285,2.8766,2.5321,0.3445,8.733,0.852,1.2689,3.3497,0.325,0.411,186.641,387.279,-0.7412,3.3511,,,,3.3504,6.0199,3.3502,3.3442,0.9939,0.635,1.179,0.125,92.627,4.946,0.1829,-0.0001,10.294,1.7794,0.5804,0.005,0.816,8.714,,0.077,,,0.001,,0.002,,0.002,,0.284,0.483,-0.446,-0.526,-0.534,-0.604,-0.415,
No_21,125,True,1,1625,68,0.322,-0.280,-0.350,-0.360,-0.404,-0.332,,3.017,,,0.006,,0.005,,0.014,,0.328,2.8494,2.5002,0.3492,9.167,1.035,1.2498,3.3041,0.413,0.407,237.237,492.887,0.0592,3.3041,,,,3.3042,7.3110,3.3054,3.2981,0.9831,0.555,1.201,0.175,92.940,6.316,0.2286,0.0043,10.139,1.6504,0.4358,0.006,1.033,9.232,,3.211,,,0.006,,0.006,,0.014,,0.331,0.319,-0.277,-0.347,-0.357,-0.401,-0.331,
No_22,125,True,1,1625,68,0.321,-0.279,-0.349,-0.358,-0.405,-0.333,,3.053,,,0.005,,0.006,,0.015,,0.332,2.8606,2.5111,0.3495,9.595,1.028,1.2590,3.3250,0.378,0.399,238.869,496.759,2.4027,3.3224,,,,3.3248,7.3839,3.3254,3.3180,0.9935,0.555,1.182,0.178,92.747,6.241,0.2290,0.0046,10.777,1.6602,0.4671,0.006,1.017,9.551,,3.265,,,0.006,,0.007,,0.015,,0.333,0.318,-0.276,-0.346,-0.355,-0.402,-0.332,
No_21,-40,True,1,1639,68,0.585,-0.677,-0.719,-0.725,-0.781,-0.500,,0.063,,,0.002,,0.005,,0.003,,0.247,2.8567,2.5214,0.3353,6.835,0.692,1.2555,3.3428,0.358,0.452,131.209,270.691,-0.5387,3.3429,,,,3.3423,1.9336,3.3425,3.3406,1.0291,0.727,1.211,0.219,92.790,3.997,0.1444,0.0164,8.842,1.8808,0.6604,0.004,0.677,6.856,,0.049,,,0.000,,0.007,,0.003,,0.246,0.584,-0.674,-0.717,-0.723,-0.780,-0.499,
No_22,-40,False,17,1639,24,0.584,-0.672,-0.715,-0.720,-0.778,-0.499,,0.071,,,0.003,,0.001,,0.001,,0.250,2.8779,2.5544,0.3235,7.890,0.699,1.2739,3.3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_23,25,True,1,1617,68,0.489,-0.454,-0.534,-0.541,-0.612,-0.418,,0.095,,,0.003,,0.002,,0.002,,0.282,2.8389,2.5103,0.3286,7.918,0.887,1.2587,3.3220,0.366,0.420,182.914,378.754,0.3176,3.3226,,,,3.3229,3.7863,3.3219,3.3181,0.9682,0.646,1.190,0.120,92.246,4.917,0.1794,0.0000,9.912,1.7805,0.5586,0.005,0.861,7.859,,0.079,,,0.001,,0.002,,0.002,,0.282,0.491,-0.456,-0.535,-0.543,-0.613,-0.419,
No_24,25,True,1,1617,68,0.480,-0.442,-0.523,-0.530,-0.599,-0.413,,0.097,,,0.003,,0.002,,0.002,,0.284,2.8724,2.5229,0.3495,8.646,0.850,1.2542,3.3246,0.376,0.405,185.466,384.154,-0.0452,3.3256,,,,3.3256,5.2569,3.3252,3.3200,1.0010,0.636,1.190,0.128,92.896,4.989,0.1812,0.0000,10.426,1.7703,0.5592,0.005,0.826,8.596,,0.083,,,0.001,,0.002,,0.002,,0.283,0.482,-0.444,-0.525,-0.533,-0.602,-0.414,
No_23,125,True,1,1626,68,0.372,-0.315,-0.386,-0.395,-0.447,-0.350,,1.304,,,0.002,,0.003,,0.008,,0.315,2.8412,2.5033,0.3380,9.232,1.035,1.2545,3.3092,0.397,0.406,227.081,471.610,0.0202,3.3089,,,,3.3089,6.5450,3.3095,3.3029,0.9730,0.566,1.190,0.159,92.351,6.000,0.2172,0.0012,10.387,1.6801,0.4674,0.006,1.026,9.276,,1.444,,,0.002,,0.003,,0.008,,0.316,0.365,-0.310,-0.381,-0.391,-0.441,-0.347,
No_24,125,True,1,1626,68,0.373,-0.316,-0.388,-0.397,-0.447,-0.350,,1.274,,,0.002,,0.003,,0.008,,0.315,2.8575,2.5122,0.3453,9.788,0.970,1.2540,3.3127,0.401,0.396,226.071,469.288,1.7175,3.3102,,,,3.3119,6.3313,3.3129,3.3066,0.9992,0.575,1.190,0.165,92.738,5.893,0.2165,0.0011,10.863,1.6806,0.4675,0.006,0.949,9.405,,1.429,,,0.003,,0.004,,0.008,,0.316,0.366,-0.311,-0.382,-0.391,-0.441,-0.348,
No_23,-40,True,1,1612,68,0.578,-0.656,-0.701,-0.707,-0.766,-0.492,,0.056,,,0.005,,0.011,,0.007,,0.252,2.8384,2.5113,0.3271,7.367,0.736,1.2589,3.3247,0.342,0.452,136.512,281.468,-0.6383,3.3258,,,,3.3252,5.4988,3.3270,3.3215,0.9525,0.717,1.200,0.371,92.168,4.016,0.1472,0.0463,9.623,1.8703,0.6610,0.004,0.714,7.292,,0.039,,,-0.001,,0.016,,0.008,,0.252,0.578,-0.653,-0.699,-0.705,-0.765,-0.491,
No_24,-40,True,1,1612,68,0.578,-0.658,-0.703,-0.708,-0.767,-0.493,,0.071,,,0.003,,0.002,,0.001,,0.252,2.8514,2.5225,0.3289,7.305,0.707,1.2557,3.3347,0.357,0.427,135.478,279.536,-1.8187,3.3349,,,,3.3331,4.1793,3.3357,3.3315,1.0212,0.717,1.210,0.114,92.714,3.927,0.1463,0.0008,10.118,1.8605,0.6611,0.004,0.694,7.308,,0.061,,,0.001,,0.002,,0.001,,0.253,0.578,-0.656,-0.701,-0.707,-0.766,-0.492,
No_25,25,True,1,1617,68,0.475,-0.436,-0.516,-0.524,-0.594,-0.410,,0.103,,,0.002,,0.002,,0.002,,0.284,2.8729,2.5221,0.3508,7.890,0.864,1.2597,3.3257,0.364,0.432,187.139,387.717,0.0311,3.3253,,,,3.3253,5.0411,3.3259,3.3208,0.9454,0.636,1.191,0.123,92.909,5.076,0.1848,0.0003,9.844,1.7698,0.5580,0.005,0.828,7.884,,0.083,,,0.000,,0.001,,0.001,,0.284,0.477,-0.438,-0.519,-0.527,-0.597,-0.411,
No_26,25,True,1,1617,68,0.481,-0.443,-0.524,-0.531,-0.601,-0.415,,0.100,,,0.002,,0.002,,0.002,,0.283,2.8569,2.5101,0.3468,7.946,0.852,1.2538,3.3138,0.376,0.431,185.445,383.799,0.7381,3.3117,,,,3.3124,3.4724,3.3130,3.3095,0.9496,0.636,1.180,0.125,92.804,5.005,0.1818,0.0006,9.435,1.7706,0.5590,0.005,0.821,7.946,,0.076,,,0.000,,0.002,,0.002,,0.282,0.483,-0.446,-0.526,-0.534,-0.604,-0.416,
No_25,125,True,1,1626,68,0.353,-0.302,-0.373,-0.383,-0.433,-0.344,,1.791,,,0.003,,0.003,,0.010,,0.319,2.8361,2.5141,0.3220,9.254,0.976,1.2564,3.3137,0.390,0.418,230.161,477.977,0.7722,3.3139,,,,3.3146,6.2586,3.3141,3.3078,0.9450,0.566,1.192,0.164,92.885,5.976,0.2225,0.0019,10.365,1.6704,0.4546,0.006,0.949,9.248,,1.935,,,0.003,,0.004,,0.010,,0.320,0.348,-0.298,-0.369,-0.379,-0.428,-0.342,
No_26,125,True,1,1626,68,0.323,-0.282,-0.352,-0.361,-0.408,-0.335,,2.932,,,0.005,,0.005,,0.013,,0.329,2.8419,2.4899,0.3519,9.414,1.025,1.2490,3.2973,0.414,0.415,236.972,491.736,2.2999,3.2957,,,,3.2980,5.6337,3.2959,3.2902,0.9512,0.555,1.183,0.177,92.620,6.037,0.2271,0.0042,10.082,1.6505,0.4460,0.006,0.995,9.458,,3.185,,,0.006,,0.007,,0.014,,0.330,0.319,-0.278,-0.348,-0.357,-0.403,-0.333,
No_25,-40,False,27,1653,45,0.579,-0.661,-0.705,-0.711,-0.770,-0.494,,0.056,,,0.004,,0.011,,0.012,,0.251,2.8725,2.5198,0.3527,7.264,0.703,1.2572,3.3273,0.347,0.470,134.886,278.097,0.9808,3.3283,,,,3.3293,2.5626,3.3280,3.3254,0.9411,0.717,1.210,0.307,93.010,4.051,0.1472,0.0706,,,,,,,,,,,,,,,,,,,,,,,,
No_26,-40,True,1,1653,68,0.582,-0.667,-0.711,-0.717,-0.775,-0.499,,0.070,,,-0.008,,0.002,,0.001,,0.248,2.8575,2.5084,0.3491,7.349,0.697,1.2540,3.3126,0.355,0.468,133.868,275.758,1.6319,3.3127,,,,3.3144,2.4914,3.3118,3.3093,0.9342,0.727,1.200,0.099,92.640,3.952,0.1455,0.0001,8.907,1.8696,0.6593,0.004,0.681,7.299,,0.056,,,-0.006,,0.002,,0.001,,0.247,0.581,-0.665,-0.709,-0.715,-0.773,-0.498,
No_27,25,True,1,1615,68,0.492,-0.459,-0.538,-0.546,-0.617,-0.423,,0.092,,,0.002,,0.001,,0.002,,0.279,2.8779,2.5305,0.3473,7.924,0.854,1.2635,3.3473,0.336,0.425,181.670,376.709,-0.7099,3.3482,,,,3.3475,3.2725,3.3470,3.3437,0.9786,0.646,1.182,0.119,92.808,4.977,0.1812,0.0000,10.777,1.7906,0.5867,0.005,0.826,7.931,,0.067,,,0.001,,0.002,,0.002,,0.279,0.493,-0.459,-0.538,-0.546,-0.617,-0.423,
No_28,25,True,1,1615,68,0.493,-0.459,-0.537,-0.545,-0.616,-0.423,,0.091,,,0.003,,0.002,,0.003,,0.279,2.8579,2.5096,0.3483,8.599,0.833,1.2541,3.3234,0.377,0.409,183.491,380.769,-0.4407,3.3244,,,,3.3239,5.4469,3.3237,3.3182,0.9997,0.645,1.193,0.121,93.030,5.054,0.1796,-0.0001,9.501,1.7800,0.5676,0.005,0.808,8.354,,0.078,,,0.002,,0.003,,0.002,,0.279,0.494,-0.460,-0.538,-0.546,-0.617,-0.423,
No_27,125,True,1,1622,68,0.411,-0.351,-0.424,-0.433,-0.494,-0.371,,0.335,,,0.095,,0.103,,0.005,,0.300,2.8506,2.5218,0.3288,9.080,0.939,1.2629,3.3349,0.361,0.415,215.190,447.153,-0.9341,3.3348,,,,3.3339,5.6919,3.3358,3.3301,0.9745,0.585,1.171,0.219,92.585,5.575,0.2101,0.0004,10.970,1.7197,0.5082,0.006,0.928,9.167,,0.403,,,0.001,,0.002,,0.004,,0.302,0.405,-0.345,-0.418,-0.427,-0.487,-0.368,
No_28,125,True,1,1622,68,0.395,-0.333,-0.405,-0.414,-0.472,-0.362,,0.679,,,0.003,,0.003,,0.006,,0.306,2.8520,2.5031,0.3489,9.187,0.929,1.2489,3.3066,0.407,0.401,223.172,463.832,-1.4357,3.3076,,,,3.3061,3.6624,3.3073,3.3037,0.9937,0.585,1.200,0.156,93.078,5.838,0.2129,0.0008,9.935,1.6901,0.4890,0.006,0.915,9.221,,0.832,,,0.001,,0.003,,0.005,,0.307,0.388,-0.327,-0.399,-0.408,-0.465,-0.359,
No_27,-40,True,1,1611,68,0.578,-0.654,-0.699,-0.705,-0.766,-0.495,,0.058,,,0.004,,0.009,,0.006,,0.250,2.8779,2.5355,0.3424,7.432,0.712,1.2653,3.3556,0.320,0.454,136.733,282.476,0.4733,3.3557,,,,3.3562,3.4936,3.3565,3.3530,0.9853,0.717,1.190,0.334,92.526,3.981,0.1492,0.0484,10.787,1.8810,0.6803,0.004,0.707,7.392,,0.044,,,0.000,,0.012,,0.008,,0.251,0.577,-0.652,-0.697,-0.703,-0.764,-0.494,
No_28,-40,True,1,1611,68,0.582,-0.663,-0.707,-0.713,-0.772,-0.498,,0.072,,,0.000,,0.001,,0.000,,0.249,2.8575,2.5113,0.3462,7.246,0.705,1.2546,3.3320,0.364,0.431,136.097,281.138,0.9078,3.3327,,,,3.3336,3.0551,3.3312,3.3282,1.0180,0.727,1.220,0.106,92.885,4.119,0.1468,0.0000,9.152,1.8802,0.6810,0.004,0.690,7.280,,0.059,,,-0.001,,0.002,,0.001,,0.250,0.581,-0.661,-0.705,-0.711,-0.770,-0.497,
No_29,25,True,1,1617,68,0.490,-0.455,-0.534,-0.541,-0.613,-0.421,,0.092,,,0.002,,0.002,,0.002,,0.280,2.8523,2.5080,0.3443,7.516,0.834,1.2544,3.3195,0.382,0.409,186.341,386.919,-0.4515,3.3192,,,,3.3187,4.7640,3.3194,3.3146,0.9569,0.646,1.180,0.118,93.044,4.918,0.1837,0.0002,8.647,1.7605,0.5590,0.005,0.806,7.545,,0.070,,,0.001,,0.002,,0.002,,0.281,0.488,-0.452,-0.530,-0.538,-0.610,-0.419,
No_30,25,True,1,1617,68,0.488,-0.453,-0.533,-0.541,-0.611,-0.417,,0.095,,,0.002,,0.002,,0.002,,0.281,2.8375,2.5122,0.3252,8.627,0.829,1.2496,3.3114,0.392,0.413,183.043,379.176,-0.5575,3.3109,,,,3.3104,4.0143,3.3112,3.3072,1.0027,0.636,1.181,0.126,93.067,5.097,0.1817,0.0003,9.923,1.7705,0.5684,0.005,0.808,8.637,,0.081,,,0.001,,0.002,,0.002,,0.282,0.484,-0.447,-0.528,-0.535,-0.605,-0.415,
No_29,125,True,1,1623,68,0.412,-0.351,-0.424,-0.433,-0.494,-0.370,,0.329,,,0.003,,0.002,,0.004,,0.301,2.8496,2.5012,0.3485,8.068,0.900,1.2499,3.3065,0.406,0.400,219.172,456.033,-0.3378,3.3070,,,,3.3066,6.1434,3.3072,3.3010,0.9711,0.585,1.187,0.148,93.094,5.688,0.2122,0.0008,9.128,1.6905,0.4887,0.006,0.875,8.803,,0.407,,,0.001,,0.002,,0.004,,0.303,0.406,-0.344,-0.416,-0.425,-0.485,-0.367,
No_30,125,True,1,1623,68,0.403,-0.343,-0.417,-0.426,-0.483,-0.364,,0.461,,,0.003,,0.003,,0.005,,0.303,2.8466,2.5012,0.3455,9.162,0.913,1.2469,3.3001,0.413,0.405,217.730,451.935,-0.3784,3.3014,,,,3.3010,6.6334,3.3009,3.2942,0.9971,0.586,1.182,0.157,93.166,5.957,0.2109,0.0013,10.198,1.6906,0.4859,0.006,0.886,9.218,,0.599,,,0.000,,0.002,,0.005,,0.304,0.396,-0.336,-0.409,-0.418,-0.474,-0.360,
No_29,-40,True,1,1613,68,0.565,-0.609,-0.661,-0.668,-0.733,-0.478,,0.078,,,0.003,,0.002,,0.002,,0.258,2.8656,2.5254,0.3403,7.127,0.760,1.2549,3.3291,0.357,0.427,149.590,309.569,0.6477,3.3285,,,,3.3292,3.5621,3.3288,3.3253,0.9391,0.707,1.201,0.136,92.991,4.083,0.1562,0.0027,8.124,1.8398,0.6406,0.004,0.720,7.105,,0.058,,,0.001,,0.002,,0.001,,0.257,0.566,-0.613,-0.665,-0.671,-0.736,-0.480,
No_30,-40,True,1,1613,68,0.561,-0.607,-0.660,-0.666,-0.730,-0.474,,0.078,,,0.002,,0.002,,0.002,,0.259,2.8394,2.5094,0.3300,7.501,0.751,1.2500,3.3195,0.375,0.429,146.375,302.069,1.7160,3.3174,,,,3.3191,2.9710,3.3183,3.3154,1.0050,0.707,1.200,0.095,92.975,4.423,0.1542,0.0021,9.809,1.8500,0.6390,0.004,0.719,7.507,,0.060,,,0.000,,0.001,,0.001,,0.258,0.563,-0.611,-0.663,-0.669,-0.733,-0.475,
