SITE_NUM,Unit,LimitL,LimitU,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
PART_ID,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
SOFT_BIN,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
T_TIME,ms,,,,1509,1511,1510,1510,1512,1510,1509,1509,1509,1510,1509,1510,1509,1508,1510,1509,1512,1509,1510,1510,
TEST_NUM,,,,,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,
Continuity_out,V,0.100,1.000,,0.511,0.510,0.511,0.512,0.513,0.511,0.511,0.511,0.512,0.512,0.512,0.512,0.512,0.512,0.512,0.511,0.511,0.512,0.511,0.511,
Continuity_vin,V,-1.000,-0.100,,-0.487,-0.488,-0.487,-0.489,-0.488,-0.487,-0.486,-0.488,-0.488,-0.487,-0.487,-0.488,-0.488,-0.487,-0.488,-0.486,-0.487,-0.488,-0.487,-0.487,
Continuity_en,V,-1.000,-0.100,,-0.562,-0.562,-0.562,-0.563,-0.564,-0.563,-0.562,-0.563,-0.563,-0.562,-0.563,-0.563,-0.563,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,
Continuity_pg,V,-1.000,-0.100,,-0.570,-0.570,-0.569,-0.571,-0.571,-0.570,-0.569,-0.570,-0.570,-0.570,-0.570,-0.570,-0.570,-0.570,-0.570,-0.569,-0.569,-0.570,-0.569,-0.570,
Continuity_pgdl,V,-1.000,-0.100,,-0.640,-0.639,-0.639,-0.641,-0.641,-0.640,-0.641,-0.642,-0.642,-0.641,-0.640,-0.641,-0.641,-0.640,-0.641,-0.639,-0.639,-0.639,-0.639,-0.640,
Continuity_fb,V,-1.000,-0.100,,-0.431,-0.431,-0.430,-0.430,-0.433,-0.433,-0.433,-0.437,-0.435,-0.434,-0.433,-0.434,-0.436,-0.433,-0.432,-0.429,-0.430,-0.431,-0.430,-0.430,
POR_rising,V,2.7200,2.9000,,2.8153,2.8062,2.8165,2.7947,2.8054,2.8159,2.8157,2.7953,2.8047,2.8161,2.7949,2.8159,2.8277,2.8167,2.7949,2.8048,2.8043,2.7946,2.8050,2.8054,
POR_falling,V,,,,2.5312,2.5203,2.5308,2.5100,2.5198,2.5316,2.5312,2.5108,2.5209,2.5404,2.5099,2.5306,2.5305,2.5303,2.5100,2.5209,2.5211,2.5100,2.5200,2.5207,
POR_hys,V,0.2000,0.4000,,0.2841,0.2858,0.2856,0.2847,0.2856,0.2843,0.2845,0.2845,0.2837,0.2757,0.2851,0.2853,0.2973,0.2864,0.2849,0.2839,0.2832,0.2845,0.2851,0.2847,
Ignd100,uA,,16.000,,7.444,7.908,7.639,7.714,7.538,7.622,7.667,7.546,7.614,7.579,7.537,7.625,7.444,7.480,7.657,7.668,7.799,7.970,7.691,7.458,
Ishd,uA,,1.000,,0.744,0.749,0.745,0.754,0.744,0.757,0.745,0.725,0.738,0.729,0.744,0.742,0.734,0.734,0.754,0.740,0.949,0.762,0.751,0.733,
Vfb,V,1.2230,1.2730,,1.2626,1.2601,1.2618,1.2537,1.2547,1.2628,1.2578,1.2502,1.2543,1.2649,1.2493,1.2591,1.2654,1.2573,1.2499,1.2620,1.2609,1.2575,1.2556,1.2524,
Vout_5,V,3.2280,3.3570,,3.3274,3.3318,3.3370,3.3026,3.3283,3.3266,3.3171,3.3105,3.3076,3.3489,3.2871,3.3262,3.3412,3.3168,3.3076,3.3419,3.3324,3.3368,3.3220,3.3021,
Ifb,uA,,1.100,,0.211,0.181,0.165,0.147,0.138,0.179,0.174,0.188,0.194,0.208,0.168,0.210,0.207,0.185,0.188,0.220,0.310,0.158,0.177,0.196,
Ilimit,A,0.360,0.480,,0.388,0.398,0.400,0.414,0.415,0.410,0.409,0.426,0.407,0.394,0.416,0.424,0.397,0.416,0.396,0.400,0.421,0.419,0.401,0.382,
Vdropout_5_50mA,mV,127.000,295.000,,173.127,171.274,173.829,174.126,172.875,172.426,173.432,173.775,174.995,173.455,176.124,174.141,172.715,174.004,175.316,172.990,173.272,172.975,180.867,175.011,
Vdropout_5_300mA,mV,250.000,546.000,,356.962,353.050,355.429,364.420,355.948,356.382,359.105,361.499,364.122,353.271,373.487,359.105,353.965,360.409,364.046,354.987,356.893,352.760,364.031,366.021,
Vline_regulation_5,mV,0.9300,8.1000,,1.9604,1.0540,1.0929,1.3650,1.1256,1.2375,1.7894,1.3354,2.1905,1.1955,2.4159,1.7583,1.2126,1.2188,1.5127,1.5873,1.6106,1.4349,2.6631,2.5745,
Vout_6V,V,,,,3.3254,3.3302,3.3356,3.3011,3.3266,3.3244,3.3159,3.3084,3.3048,3.3479,3.2854,3.3252,3.3401,3.3153,3.3057,3.3395,3.3313,3.3351,3.3200,3.2998,
Vout_12V,V,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Vout_20V,V,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Vout_30V,V,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Vout_40V,V,,,,3.3273,3.3313,3.3367,3.3024,3.3278,3.3257,3.3176,3.3097,3.3070,3.3491,3.2879,3.3270,3.3413,3.3165,3.3072,3.3411,3.3329,3.3365,3.3227,3.3024,
Vload_regulation_5,mV,,10.0000,,2.7641,3.1683,4.4898,2.9662,3.2803,3.7840,3.6876,2.8170,3.1217,2.0770,4.0389,3.9425,3.0160,3.7467,3.3487,3.0875,4.1664,3.6783,4.2970,3.0191,
Vout_5mA,V,,,,3.3270,3.3321,3.3383,3.3022,3.3284,3.3267,3.3178,3.3099,3.3070,3.3488,3.2877,3.3273,3.3410,3.3170,3.3074,3.3415,3.3330,3.3370,3.3230,3.3014,
Vout_300mA,V,,,,3.3243,3.3289,3.3338,3.2992,3.3251,3.3229,3.3141,3.3070,3.3039,3.3467,3.2836,3.3234,3.3379,3.3133,3.3040,3.3384,3.3288,3.3334,3.3187,3.2984,
Ven_low,v,0.350,0.890,,0.654,0.654,0.654,0.665,0.654,0.653,0.654,0.655,0.654,0.654,0.654,0.655,0.664,0.654,0.654,0.654,0.655,0.654,0.654,0.645,
Ven_high,v,0.640,1.450,,1.201,1.180,1.191,1.180,1.190,1.200,1.200,1.190,1.201,1.200,1.210,1.180,1.200,1.200,1.200,1.200,1.200,1.201,1.190,1.190,
Ien,uA,,0.500,,-0.002,-0.011,-0.009,0.003,-0.006,-0.001,-0.001,-0.007,-0.012,-0.007,0.002,0.001,-0.007,-0.010,-0.003,-0.002,-0.007,0.001,0.000,-0.004,
PG_rising,%,92.000,93.000,,92.954,92.693,92.650,92.761,92.964,92.678,92.502,93.207,93.413,92.870,92.929,92.689,92.548,93.019,92.905,92.264,92.789,92.586,92.996,93.216,
PG_hys,%,3.600,6.700,,4.494,4.522,4.689,5.275,4.522,4.518,6.099,5.220,4.509,6.065,4.233,5.855,4.592,5.601,4.918,4.476,4.445,4.364,4.702,5.022,
PG_low,V,0.1210,0.3480,,0.2131,0.2545,0.2260,0.2276,0.2102,0.2211,0.2443,0.2082,0.2198,0.2207,0.2205,0.2159,0.2116,0.2096,0.2421,0.2463,0.2066,0.2540,0.2276,0.2275,
PG_leakage,uA,,0.0120,,0.0006,0.0005,0.0007,0.0006,0.0004,0.0006,0.0004,0.0005,0.0007,0.0007,0.0005,0.0005,0.0007,0.0006,0.0007,0.0005,0.0004,0.0006,0.0005,0.0007,
PGDL_charg,uA,7.800,14.100,,9.366,10.135,9.599,9.734,9.212,9.742,10.085,8.958,9.426,9.245,9.557,9.416,9.109,9.108,9.809,10.309,9.189,10.378,9.731,9.522,
PGDL_rising,V,1.4900,1.9970,,1.7905,1.7908,1.7899,1.7903,1.7898,1.8010,1.7904,1.7899,1.7896,1.7998,1.7901,1.7898,1.8000,1.7899,1.7899,1.8000,1.7911,1.7902,1.7906,1.7897,
PGDL_falling,V,0.2770,0.8110,,0.5811,0.5914,0.5800,0.5915,0.5763,0.6019,0.5921,0.5918,0.5917,0.5921,0.5809,0.5820,0.5915,0.5957,0.5912,0.5910,0.5907,0.6012,0.6024,0.5717,
PG_reaction,om,,2.000,,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,
Post_Ignd100,uA,,16.000,,7.479,7.943,7.671,7.732,7.546,7.641,7.703,7.573,7.630,7.616,7.566,7.649,7.474,7.498,7.691,7.691,7.844,8.015,7.722,7.480,
Post_Ishd,uA,,1.000,,0.697,0.705,0.697,0.710,0.698,0.707,0.704,0.683,0.700,0.686,0.694,0.697,0.686,0.693,0.703,0.696,0.905,0.719,0.705,0.689,
Post_Continuity_out,V,0.100,1.000,,0.511,0.510,0.511,0.512,0.512,0.510,0.511,0.511,0.512,0.512,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.512,0.511,0.511,
Post_Continuity_vin,V,-1.000,-0.100,,-0.486,-0.487,-0.486,-0.488,-0.487,-0.486,-0.485,-0.487,-0.487,-0.486,-0.486,-0.486,-0.487,-0.486,-0.487,-0.485,-0.486,-0.487,-0.485,-0.486,
Post_Continuity_en,V,-1.000,-0.100,,-0.562,-0.561,-0.561,-0.562,-0.562,-0.562,-0.561,-0.562,-0.562,-0.561,-0.562,-0.562,-0.562,-0.561,-0.561,-0.561,-0.561,-0.561,-0.561,-0.562,
Post_Continuity_pg,V,-1.000,-0.100,,-0.569,-0.569,-0.569,-0.569,-0.570,-0.569,-0.569,-0.569,-0.569,-0.569,-0.569,-0.569,-0.569,-0.569,-0.569,-0.568,-0.568,-0.569,-0.568,-0.569,
Post_Continuity_pgdl,V,-1.000,-0.100,,-0.639,-0.638,-0.639,-0.640,-0.640,-0.639,-0.640,-0.641,-0.641,-0.640,-0.639,-0.640,-0.640,-0.639,-0.640,-0.638,-0.638,-0.638,-0.639,-0.639,
Post_Continuity_fb,V,-1.000,-0.100,,-0.431,-0.431,-0.430,-0.429,-0.433,-0.433,-0.433,-0.437,-0.435,-0.433,-0.433,-0.433,-0.436,-0.432,-0.432,-0.429,-0.430,-0.430,-0.429,-0.430,
